clearspending_url,regnum,sign_date,1st_product_description,num_products,customer_name,customer_inn,customer_kpp,1st_supp_name,1st_supp_inn,1st_supp_kpp,num_suppliers,contract_price,currency,region_name,contract_stage,fz
https://clearspending.ru/contract/1770660340516000066,1770660340516000066,2016-03-18T00:00:00,Электроэнергия,1,УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ МИГРАЦИОННОЙ СЛУЖБЫ ПО Г. МОСКВЕ,7706603405,770601001,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСЭНЕРГОСБЫТ""",7736520080,773601001,1,12012.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/1773663680015000002,1773663680015000002,2015-02-18T00:00:00,"Коммунальные услуги, поставка электроэнергии",1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""26 ПОЖАРНО-СПАСАТЕЛЬНЫЙ ОТРЯД ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ПО ГОРОДУ МОСКВЕ""",7736636800,773601001,"Публичное акционерное общество ""Мосэнергосбыт""",7736520080,997450001,1,553769.83,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0373100014914000013,0373100014914000013,2014-08-21T00:00:00,"Работы по установке под ключ, сдачи в эксплуатацию и согласованию с ОАО «Мосэнергосбыт», автоматизированной информационно-измерительной системы коммерческого учёта электроэнергии (АИИС КУЭ) на объекты Федерального государственного бюджетного учреждения науки Главный ботанический сад им. Н.В. Цицина Российской академии наук (ТП-3, ТП-18089, ТП-6, РП-4474) на базе электросчетчиков «Меркурий», согласно проекта МТЦ-СВГО/14-14053176.ТП (приложение к техническому заданию) находящемуся по адресу: г. Москва, ул. Ботаническая, владение 4, 31, дом 33, корп. 4",1,Федеральное государственное бюджетное учреждение науки Главный ботанический сад им. Н.В. Цицина Российской академии наук,7715038478,771501001,"Общество с ограниченной ответственостью ""Аварийно-Ремонтное Предприятие""",2635126120,263501001,1,563009.21,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0173200005913000004,0173200005913000004,2013-12-05T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,1,Управление социальной защиты населения Пресненского района города Москвы Центральный административный округ,7703041109,770301001,"ОАО ""Мосэнергосбыт""",7736520080,997450001,1,322000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0373200495611000001,0373200495611000001,2011-12-26T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,2,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 113,7728231302,772801001,"Открытое акционерное общество ""Мосэнергосбыт""",7736520080,997450001,1,310617.18,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2770584037915000493,2770584037915000493,2015-12-16T00:00:00,"Услуги по управлению проектами, связанными со строительством зданий и сооружений",2,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ПО КАПИТАЛЬНОМУ РЕМОНТУ МНОГОКВАРТИРНЫХ ДОМОВ ГОРОДА МОСКВЫ ""УКРИС""",7705840379,770501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ТЕХНОЛОГИЧЕСКИХ ПРИСОЕДИНЕНИЙ МОЭК""",7720302417,770301001,1,1900393.67,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0373100057813000068,0373100057813000068,2013-11-05T00:00:00,"Электроэнергия, произведенная конденсационными электростанциями (КЭС) общего назначения",1,Министерство культуры Российской Федерации,7705851331,770501001,"Открытое акционерное общество"" Объединенная энергетическая компания""",7720522853,997450001,1,35218564.99,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2770708676715000019,2770708676715000019,2015-03-24T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,1,"Государственное бюджетное учреждение культуры города Москвы ""Московский государственный академический театр оперетты""",7707086767,770701001,"Открытое акционерное общество энергетики и электрофикации ""МОСЭНЕРГО""",7705035012,997450001,1,2834310.85,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/2773406108815000002,2773406108815000002,2015-01-01T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,1,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ТЕАТР ""КИНОСПЕКТАКЛЬ""",7734061088,770301001,"Открытое акционерное общество ""Мосэнергосбыт""",7736520080,997450001,1,126940.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/1771502773315000262,1771502773315000262,2015-01-12T00:00:00,Электроэнергия,1,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ПУТЕЙ СООБЩЕНИЯ""",7715027733,771501001,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯНТАРЬЭНЕРГОСБЫТ""",3908600865,390601001,1,230000.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0173200002913000031,0173200002913000031,2013-12-02T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,1,Управление социальной защиты населения Северо-Восточного административного округа города Москвы,7716034451,771601001,ОАО «Мосэнергосбыт» Северо-Восточное городское отделение,7736520080,997450001,1,197600.0,Российский рубль,Москва,Исполнение,44
https://clearspending.ru/contract/0373200542013000003,0373200542013000003,2013-12-13T00:00:00,Услуги по передаче электроэнергии по коммунальным электрическим сетям,1,"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 399""",7719209131,771901001,"ОАО ""Мосэнергосбыт""",7736520080,997450001,1,149244.0,Российский рубль,Москва,Исполнение,44
